ID,predicted,Gene.symbol
217201_at,0.0,RASAL2
1554996_at,0.0,ZNF733P///LOC285902///ZNF479///ZNF273
206769_at,0.0,TMSB4Y
224565_at,0.0,MIR612///NEAT1
1564015_at,0.0,PIEZO2
1561535_at,0.0,LOC101928273
241536_at,0.0,
206509_at,0.0,PIP
232257_s_at,0.0,
1570160_at,0.0,
208394_x_at,0.0,ESM1
1552851_at,0.0,ZSCAN4
224083_s_at,0.0,PRO1596
1557389_at,0.0,SH3PXD2A-AS1
1554931_at,0.0,CYP4A22///CYP4A11
1553275_s_at,0.0,
208243_s_at,0.0,CNR1
216529_at,0.0,
204409_s_at,0.0,EIF1AY
207964_x_at,0.0,IFNA4
238697_at,0.0,SMIM10L2A
1560695_at,0.0,QTRT2
236189_at,0.0,ANKRD50
1552715_a_at,0.0,RXFP1
239902_at,0.0,
235462_at,0.0,CPEB2
236205_at,0.0,ABCC6P1
234314_at,0.0,RALGAPA2
1560144_at,0.0,
202768_at,0.0,FOSB
1562044_at,0.0,LOC101928580
237575_at,0.0,
1553266_at,0.0,CNOT6L
243183_at,0.0,
220445_s_at,0.0,CSAG2///CSAG3
214234_s_at,0.0,CYP3A5
1565778_at,0.0,ABCA8
1558623_at,0.0,RGPD4-AS1
220484_at,0.0,MCOLN3
241283_at,0.0,LINC01500
219186_at,0.0,ZBTB7A
216539_at,0.0,ATXN3L
232450_at,0.0,LOC149351
242605_at,0.0,DCN
211029_x_at,0.0,FGF18
229241_at,0.0,LDHD
1560995_s_at,0.0,
1552661_at,0.0,PCDHGB7
234115_s_at,0.0,ZNRD1
1562019_at,0.0,NT5DC4
207588_at,0.0,
1567280_at,0.0,
213537_at,0.0,HLA-DPA1
242452_at,0.0,
235193_at,0.0,FAM214A
215924_at,0.0,
232984_at,0.0,LOC101930373///HYDIN2///HYDIN
240987_at,0.0,
230760_at,0.0,ZFY
1554751_at,0.0,
217641_at,0.0,GPR135
236021_at,0.0,
224380_s_at,0.0,TAF7L
1570261_at,0.0,
214027_x_at,0.0,SUPT20H///DES
240955_at,0.0,PANX3
1556589_at,0.0,
1570411_at,0.0,LOC100133131
220922_s_at,0.0,SPANXA2///SPANXB1///SPANXC///SPANXA1
210305_at,0.0,PDE4DIP
233766_at,0.0,SOBP
208886_at,0.0,H1F0
235885_at,0.0,P2RY12
206876_at,0.0,SIM1
1562595_at,0.0,LOC101928314
234567_at,0.0,
229655_at,0.0,FAM19A5
1561591_at,0.0,
1553498_at,0.0,
1563254_a_at,0.0,FAM170B-AS1
239695_at,0.0,JAK1
207327_at,0.0,EYA4
233462_at,0.0,TBC1D28
234709_at,0.0,CAPN13
234652_at,0.0,LOC105376944
1568765_at,0.0,SERPINE1
216104_at,0.0,
1562300_at,0.0,
215550_at,0.0,SRGAP3
211273_s_at,0.0,TBX1
216244_at,0.0,IL1RN
215877_at,0.0,
1566867_at,0.0,
230554_at,0.0,ACSM2A
240336_at,0.0,HBM
